team,ranking,date
DAL,-0.6185918000858333,2011-12-26
LAL,-0.6185918000858333,2011-12-26
GSW,-0.6185918000858333,2011-12-26
BOS,-0.5088914334872439,2011-12-26
ORL,-0.5088914334872439,2011-12-26
NYK,0.5082861762633081,2011-12-26
OKC,0.5082861762633081,2011-12-26
MIA,0.6178946507077773,2011-12-26
CHI,0.6178946507077773,2011-12-26
LAC,0.6178946507077773,2011-12-26
DAL,-1.008973074054786,2011-12-27
LAL,-0.9087592047611623,2011-12-27
HOU,-0.6486253016760791,2011-12-27
WAS,-0.6185918000858333,2011-12-27
CLE,-0.6185918000858333,2011-12-27
PHX,-0.6185918000858333,2011-12-27
MIN,-0.5580702648528161,2011-12-27
BOS,-0.5088914334872439,2011-12-27
MIL,-0.5088914334872439,2011-12-27
DET,-0.5088914334872439,2011-12-27
MEM,-0.5088914334872439,2011-12-27
PHI,-0.5088914334872439,2011-12-27
CHI,-0.012276303366106448,2011-12-27
GSW,-0.0033292529347129472,2011-12-27
ORL,0.007936304990582706,2011-12-27
SAC,0.43082072153635176,2011-12-27
NYK,0.5082861762633081,2011-12-27
CHA,0.5082861762633081,2011-12-27
IND,0.5082861762633081,2011-12-27
SAS,0.5082861762633081,2011-12-27
POR,0.5082861762633081,2011-12-27
DEN,0.5802712357660293,2011-12-27
MIA,0.5907378108136526,2011-12-27
NJN,0.6178946507077773,2011-12-27
TOR,0.6178946507077773,2011-12-27
NOH,0.6178946507077773,2011-12-27
LAC,0.6601578908072462,2011-12-27
OKC,0.8998323995670586,2011-12-27
DAL,-0.9939941312136392,2011-12-28
MIN,-0.9483307596375378,2011-12-28
BOS,-0.7809299796058893,2011-12-28
UTA,-0.7519644878102172,2011-12-28
WAS,-0.6614134490252698,2011-12-28
HOU,-0.6486253016760791,2011-12-28
CLE,-0.6185918000858333,2011-12-28
PHX,-0.6185918000858333,2011-12-28
DET,-0.5088914334872439,2011-12-28
MEM,-0.5088914334872439,2011-12-28
PHI,-0.4845205266099278,2011-12-28
LAL,-0.4806245723001194,2011-12-28
MIL,-0.06961306108692561,2011-12-28
GSW,-0.00012650027632858497,2011-12-28
ORL,0.007936304990582706,2011-12-28
CHI,0.01648120345295748,2011-12-28
SAC,0.01871877020869512,2011-12-28
NJN,0.01920357310987864,2011-12-28
NYK,0.4898069869288753,2011-12-28
IND,0.5082861762633081,2011-12-28
SAS,0.5082861762633081,2011-12-28
CHA,0.5372200388688332,2011-12-28
DEN,0.5820735925815557,2011-12-28
TOR,0.6178946507077773,2011-12-28
NOH,0.6178946507077773,2011-12-28
LAC,0.6601578908072462,2011-12-28
ATL,0.8045232027070316,2011-12-28
MIA,0.8560073245584424,2011-12-28
OKC,0.8807493440281988,2011-12-28
POR,0.9064866908034783,2011-12-28
PHX,-1.0761791900231892,2011-12-29
DET,-1.0123764973500857,2011-12-29
UTA,-0.9983358122205432,2011-12-29
BOS,-0.9936964598193759,2011-12-29
DAL,-0.9582997525989655,2011-12-29
MIN,-0.9390646063265802,2011-12-29
WAS,-0.8858391698851805,2011-12-29
MEM,-0.8127654641997295,2011-12-29
HOU,-0.6464915965530503,2011-12-29
LAL,-0.49377041070074823,2011-12-29
MIL,-0.09958761515547358,2011-12-29
CLE,-0.09838705970186784,2011-12-29
NYK,-0.054399042791385986,2011-12-29
NJN,0.019970021191213442,2011-12-29
SAC,0.021240293107178267,2011-12-29
ORL,0.024400161188265414,2011-12-29
CHA,0.03594873671141457,2011-12-29
CHI,0.037891806363570917,2011-12-29
PHI,0.0449670610295701,2011-12-29
TOR,0.09795491736626982,2011-12-29
LAC,0.22913988533334725,2011-12-29
GSW,0.37103286064479973,2011-12-29
NOH,0.8226639556108506,2011-12-29
DEN,0.8488692098264935,2011-12-29
SAS,0.9205450729826088,2011-12-29
POR,0.9320830160097662,2011-12-29
IND,1.0115716213681498,2011-12-29
ATL,1.0376117929909523,2011-12-29
OKC,1.1231956717399585,2011-12-29
MIA,1.2298507496947861,2011-12-29
DAL,-1.1108165840629443,2011-12-30
PHX,-1.0741424963580306,2011-12-30
BOS,-1.0160406142657956,2011-12-30
DET,-1.0123764973500857,2011-12-30
UTA,-0.993547887991653,2011-12-30
MIN,-0.9317178855566234,2011-12-30
WAS,-0.9133052815535281,2011-12-30
MEM,-0.831668747269913,2011-12-30
NYK,-0.47105288096433257,2011-12-30
SAC,-0.39359369217577,2011-12-30
NJN,-0.3315204156747244,2011-12-30
LAL,-0.14545338565878058,2011-12-30
MIL,-0.09886099050246233,2011-12-30
CLE,-0.09838705970186784,2011-12-30
CHA,0.0350992001821469,2011-12-30
PHI,0.06496436594632264,2011-12-30
TOR,0.09795491736626982,2011-12-30
HOU,0.10759453578845733,2011-12-30
LAC,0.19708037774920725,2011-12-30
SAS,0.34370388497125315,2011-12-30
GSW,0.37495481968278965,2011-12-30
DEN,0.42026791805341285,2011-12-30
ORL,0.427304481249103,2011-12-30
CHI,0.4881933708692434,2011-12-30
NOH,0.8211659335354244,2011-12-30
IND,1.0115716213681498,2011-12-30
ATL,1.0119789842932752,2011-12-30
MIA,1.2216824179659176,2011-12-30
POR,1.2389738746775865,2011-12-30
OKC,1.2413958162693348,2011-12-30
DET,-1.3592573148798457,2011-12-31
WAS,-1.171819243410968,2011-12-31
MIN,-1.0993852004464202,2011-12-31
BOS,-0.6656340163604559,2011-12-31
DAL,-0.5898935970965915,2011-12-31
NJN,-0.4951859931210003,2011-12-31
NYK,-0.44743412893566165,2011-12-31
TOR,-0.4209677606885833,2011-12-31
UTA,-0.4194853183096906,2011-12-31
PHX,-0.40678923838814074,2011-12-31
PHI,-0.3933118749545981,2011-12-31
SAC,-0.37662842418783515,2011-12-31
CLE,-0.37597440862760423,2011-12-31
HOU,-0.3696489262344593,2011-12-31
CHA,-0.3413424990966965,2011-12-31
MEM,-0.31360291208687746,2011-12-31
LAC,-0.21473377702320598,2011-12-31
LAL,-0.10541736883685328,2011-12-31
NOH,0.11843647710443084,2011-12-31
MIL,0.13698484229174196,2011-12-31
SAS,0.31957863626017713,2011-12-31
GSW,0.36883314724804167,2011-12-31
DEN,0.4678349372525098,2011-12-31
ORL,0.7324722016691649,2011-12-31
CHI,0.8102887146849778,2011-12-31
IND,1.1854384044037496,2011-12-31
ATL,1.1999852082857614,2011-12-31
POR,1.2247120041829456,2011-12-31
OKC,1.2757597268010274,2011-12-31
MIA,1.3851917664047761,2011-12-31
WAS,-1.1867200267539646,2012-01-01
MIN,-1.093993645315932,2012-01-01
SAC,-0.7495791361067334,2012-01-01
DET,-0.71770422551819,2012-01-01
UTA,-0.6317290043585658,2012-01-01
BOS,-0.6206308455106848,2012-01-01
DAL,-0.6115849141603009,2012-01-01
NJN,-0.5349917413285173,2012-01-01
PHX,-0.525296413680191,2012-01-01
TOR,-0.4500663549934738,2012-01-01
CLE,-0.36407492791924984,2012-01-01
CHA,-0.3387798002111903,2012-01-01
MEM,-0.26749451575438105,2012-01-01
LAC,-0.2316749613341448,2012-01-01
GSW,-0.09248008203799483,2012-01-01
NYK,-0.05651486980398907,2012-01-01
DEN,0.03045921591376647,2012-01-01
PHI,0.08143829842633409,2012-01-01
NOH,0.10483201806863886,2012-01-01
MIL,0.13633351336708607,2012-01-01
HOU,0.1541170371758885,2012-01-01
LAL,0.187262978429196,2012-01-01
IND,0.5331418383931635,2012-01-01
SAS,0.5674178914398363,2012-01-01
ATL,0.6015377275856217,2012-01-01
ORL,0.7600478216706991,2012-01-01
CHI,0.7890613508070436,2012-01-01
POR,1.2088906549791554,2012-01-01
MIA,1.386359709031148,2012-01-01
OKC,1.3938247034572149,2012-01-01
WAS,-1.5181669167695158,2012-01-02
DAL,-0.9215062918616362,2012-01-02
NJN,-0.7973534517636026,2012-01-02
DET,-0.6895736845061206,2012-01-02
MIN,-0.6695700581477511,2012-01-02
UTA,-0.6309608974781442,2012-01-02
TOR,-0.620869851035266,2012-01-02
PHX,-0.5671968851028606,2012-01-02
CHA,-0.4678554068267081,2012-01-02
MEM,-0.4636033752322714,2012-01-02
SAC,-0.3859829509740966,2012-01-02
BOS,-0.32020276064291836,2012-01-02
NOH,-0.3070046650410821,2012-01-02
CLE,-0.07697304432965599,2012-01-02
GSW,-0.06362585248085108,2012-01-02
NYK,-0.03067679826352574,2012-01-02
LAL,-0.03013487296336102,2012-01-02
PHI,0.06091666617396335,2012-01-02
MIL,0.12974857209156673,2012-01-02
HOU,0.15135676068621376,2012-01-02
LAC,0.2525030025802025,2012-01-02
DEN,0.3055858106727873,2012-01-02
IND,0.5372367490234734,2012-01-02
ATL,0.56558611636052,2012-01-02
SAS,0.5792735361200779,2012-01-02
POR,0.6982083674113121,2012-01-02
ORL,0.9001154374471465,2012-01-02
CHI,0.9631054946274997,2012-01-02
OKC,1.4011784859458574,2012-01-02
MIA,1.5027543292454948,2012-01-02
WAS,-1.671790507145034,2012-01-03
NJN,-0.9635855340395847,2012-01-03
NOH,-0.5645561405545538,2012-01-03
CHA,-0.5290048790880023,2012-01-03
MEM,-0.5073365281569874,2012-01-03
NYK,-0.4289286266807916,2012-01-03
SAC,-0.41190799073979106,2012-01-03
DAL,-0.397932396137157,2012-01-03
GSW,-0.3936102062799426,2012-01-03
UTA,-0.2887347708135018,2012-01-03
PHX,-0.2644267893690799,2012-01-03
MIN,-0.25910224339454074,2012-01-03
DET,-0.2008650436516441,2012-01-03
BOS,-0.19234706086205708,2012-01-03
TOR,-0.183393542609642,2012-01-03
MIL,-0.15919048140083283,2012-01-03
CLE,-0.02863665228674034,2012-01-03
LAL,-0.008758735460320927,2012-01-03
PHI,0.0791528328411184,2012-01-03
HOU,0.12516255711545238,2012-01-03
SAS,0.15655029012764765,2012-01-03
LAC,0.21642196618922988,2012-01-03
ORL,0.4524432552361921,2012-01-03
DEN,0.5665084938833909,2012-01-03
POR,0.7095370681882395,2012-01-03
IND,0.7954792259407744,2012-01-03
OKC,0.8775058458909751,2012-01-03
CHI,0.9441055284870647,2012-01-03
ATL,1.0318323356494659,2012-01-03
MIA,1.0583646345934365,2012-01-03
WAS,-1.6856807099293056,2012-01-04
NJN,-0.9736130967329848,2012-01-04
CHA,-0.7690628609462807,2012-01-04
SAC,-0.623391791858282,2012-01-04
NOH,-0.5597663743278031,2012-01-04
MIL,-0.4628961699710312,2012-01-04
NYK,-0.4242548771413703,2012-01-04
DAL,-0.41726170031281334,2012-01-04
GSW,-0.3791372962029633,2012-01-04
MIN,-0.28803332956764555,2012-01-04
PHX,-0.27130582681686505,2012-01-04
MEM,-0.2206636414539635,2012-01-04
BOS,-0.19311164729853567,2012-01-04
DET,-0.1922916844050752,2012-01-04
HOU,-0.1736763567813709,2012-01-04
TOR,-0.17327450461930732,2012-01-04
UTA,-0.008281852868177779,2012-01-04
PHI,0.11301980095924904,2012-01-04
SAS,0.16570117996137593,2012-01-04
CLE,0.19260486036466531,2012-01-04
LAL,0.21776831368009666,2012-01-04
LAC,0.2436981200479853,2012-01-04
ORL,0.41823848403736563,2012-01-04
OKC,0.5719264456896384,2012-01-04
DEN,0.5956468360147176,2012-01-04
ATL,0.7227042585237708,2012-01-04
IND,0.8054034860365538,2012-01-04
MIA,1.027372959059095,2012-01-04
POR,1.0623621540141897,2012-01-04
CHI,1.1938030311033643,2012-01-04
WAS,-1.761991761269692,2012-01-05
NJN,-1.1439055541776866,2012-01-05
NOH,-0.8022184869696372,2012-01-05
SAC,-0.7474182412632469,2012-01-05
NYK,-0.7401530523353254,2012-01-05
GSW,-0.5596880437282693,2012-01-05
MIN,-0.5553018208418864,2012-01-05
PHX,-0.5454532164043906,2012-01-05
MIL,-0.45712388443127056,2012-01-05
CHA,-0.38791421225533457,2012-01-05
DET,-0.38266349902725055,2012-01-05
HOU,-0.35156540461292174,2012-01-05
DAL,-0.16216039862942538,2012-01-05
CLE,-0.0939425620220714,2012-01-05
BOS,-0.059843916474884865,2012-01-05
UTA,0.007082707262120032,2012-01-05
TOR,0.08385635533660224,2012-01-05
MEM,0.08948518682243943,2012-01-05
LAL,0.21377530862164518,2012-01-05
PHI,0.35808073085405356,2012-01-05
SAS,0.358714657289523,2012-01-05
LAC,0.4718363378502421,2012-01-05
ORL,0.49725583075014734,2012-01-05
IND,0.5476555304067369,2012-01-05
OKC,0.5896791873757605,2012-01-05
ATL,0.7165662584471301,2012-01-05
DEN,0.7278920407925508,2012-01-05
POR,1.0858247817603857,2012-01-05
MIA,1.2518941143788795,2012-01-05
CHI,1.3415598532789306,2012-01-05
WAS,-1.7745577874398917,2012-01-06
NJN,-1.1583094491098629,2012-01-06
NOH,-0.7923634070914956,2012-01-06
MIL,-0.7364093588511353,2012-01-06
NYK,-0.7343312877313924,2012-01-06
MIN,-0.5593818014244193,2012-01-06
GSW,-0.5547747343259305,2012-01-06
PHX,-0.5499205637248268,2012-01-06
SAC,-0.5092987154672053,2012-01-06
CHA,-0.3894293053810231,2012-01-06
DET,-0.3826045630971337,2012-01-06
HOU,-0.3573321079503951,2012-01-06
DAL,-0.31320504054778114,2012-01-06
CLE,-0.09541142319040724,2012-01-06
BOS,-0.055490347586568234,2012-01-06
UTA,-0.0004909754054547833,2012-01-06
TOR,0.07849412360149945,2012-01-06
LAL,0.08986093836570992,2012-01-06
MEM,0.10497777295761146,2012-01-06
PHI,0.36587183671017803,2012-01-06
ATL,0.46215022047131604,2012-01-06
LAC,0.486407430093271,2012-01-06
ORL,0.4956893750355664,2012-01-06
SAS,0.5289249018100373,2012-01-06
IND,0.5525445038177624,2012-01-06
OKC,0.5872854629224233,2012-01-06
DEN,0.7162008792591612,2012-01-06
POR,1.2439956481827572,2012-01-06
CHI,1.3354811109605393,2012-01-06
MIA,1.44962368260622,2012-01-06
WAS,-1.9602041847175455,2012-01-07
NOH,-0.8911582299481701,2012-01-07
MIN,-0.7931501362659583,2012-01-07
NJN,-0.7535782344509816,2012-01-07
MIL,-0.7482339367924742,2012-01-07
GSW,-0.6822103254740365,2012-01-07
CHA,-0.5850926936687167,2012-01-07
NYK,-0.5687971608696288,2012-01-07
DET,-0.5240872231867771,2012-01-07
SAC,-0.5065007477077367,2012-01-07
HOU,-0.503640788199941,2012-01-07
DAL,-0.3126726674495234,2012-01-07
TOR,-0.2791756393170839,2012-01-07
BOS,-0.2702336496014486,2012-01-07
