game_id,date,home,vis,time,period,mins,secs,pos,team,event,event_deets,block,steal,home_desc,vis_desc,score,home_score,vis_score
0022100050,2021-10-26,NYK,PHI,0.0,1,12,0,,,period_start,0,False,False,,,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.0,1,12,0,,NYK,jump_ball,0,False,False,Jump Ball Robinson vs. Embiid: Tip to Maxey,,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.38,1,11,37,PHI,PHI,fg_miss,1,False,False,,MISS Embiid 21' Jump Shot,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.42,1,11,35,NYK,NYK,reb,0,False,False,Randle REBOUND (Off:0 Def:1),,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.53,1,11,28,NYK,NYK,fg3_miss,1,False,False,MISS Randle 25' 3PT Jump Shot,,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.57,1,11,26,PHI,PHI,reb,0,False,False,,Harris REBOUND (Off:0 Def:1),0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.67,1,11,20,PHI,PHI,fg3_miss,1,False,False,,MISS Harris 25' 3PT Jump Shot,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.7,1,11,18,NYK,NYK,reb,0,False,False,Barrett REBOUND (Off:0 Def:1),,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.92,1,11,5,NYK,NYK,fg_miss,5,False,False,MISS Barrett 3' Layup,,0-0,0,0
0022100050,2021-10-26,NYK,PHI,0.95,1,11,3,PHI,PHI,reb,0,False,False,,Harris REBOUND (Off:0 Def:2),0-0,0,0
0022100050,2021-10-26,NYK,PHI,1.25,1,10,45,PHI,PHI,fg3_miss,1,False,False,,MISS Harris 3PT Jump Shot,0-0,0,0
0022100050,2021-10-26,NYK,PHI,1.28,1,10,43,NYK,NYK,reb,0,False,False,Fournier REBOUND (Off:0 Def:1),,0-0,0,0
0022100050,2021-10-26,NYK,PHI,1.5,1,10,30,NYK,NYK,fg3_make,1,False,False,Barrett 3PT Jump Shot (3 PTS) (Walker 1 AST),,3-0,3,0
0022100050,2021-10-26,NYK,PHI,1.87,1,10,8,PHI,PHI,fg_miss,1,False,False,,MISS Embiid 22' Jump Shot,3-0,3,0
0022100050,2021-10-26,NYK,PHI,1.9,1,10,6,NYK,NYK,reb,0,False,False,Randle REBOUND (Off:0 Def:2),,3-0,3,0
0022100050,2021-10-26,NYK,PHI,2.03,1,9,58,NYK,NYK,fg3_make,1,False,False,Randle 25' 3PT Jump Shot (3 PTS) (Walker 2 AST),,6-0,6,0
0022100050,2021-10-26,NYK,PHI,2.37,1,9,38,PHI,PHI,fg3_make,1,False,False,,Harris 24' 3PT Jump Shot (3 PTS) (Curry 1 AST),6-3,6,3
0022100050,2021-10-26,NYK,PHI,2.67,1,9,20,NYK,NYK,fg_miss,101,False,False,MISS Walker 10' Driving Floating Jump Shot,,6-3,6,3
0022100050,2021-10-26,NYK,PHI,2.7,1,9,18,PHI,PHI,reb,0,False,False,,Harris REBOUND (Off:0 Def:3),6-3,6,3
0022100050,2021-10-26,NYK,PHI,2.77,1,9,14,PHI,PHI,fg3_miss,1,False,False,,MISS Green 25' 3PT Jump Shot,6-3,6,3
0022100050,2021-10-26,NYK,PHI,2.8,1,9,12,NYK,NYK,reb,0,False,False,Barrett REBOUND (Off:0 Def:2),,6-3,6,3
0022100050,2021-10-26,NYK,PHI,2.93,1,9,4,NYK,NYK,fg_make,75,False,False,Barrett 1' Driving Finger Roll Layup (5 PTS),,8-3,8,3
0022100050,2021-10-26,NYK,PHI,3.25,1,8,45,PHI,PHI,fg3_make,1,False,False,,Green 3PT Jump Shot (3 PTS) (Harris 1 AST),8-6,8,6
0022100050,2021-10-26,NYK,PHI,3.57,1,8,26,NYK,NYK,fg3_miss,1,False,False,MISS Walker 25' 3PT Jump Shot,,8-6,8,6
0022100050,2021-10-26,NYK,PHI,3.6,1,8,24,PHI,PHI,reb,0,False,False,,Embiid REBOUND (Off:0 Def:1),8-6,8,6
0022100050,2021-10-26,NYK,PHI,3.83,1,8,10,PHI,NYK,foul,2,False,False,Barrett S.FOUL (P1.T1) (M.Ervin),,8-6,8,6
0022100050,2021-10-26,NYK,PHI,3.83,1,8,10,PHI,PHI,ft_make,11,False,False,,Embiid Free Throw 1 of 2 (1 PTS),8-7,8,7
0022100050,2021-10-26,NYK,PHI,3.83,1,8,10,PHI,PHI,ft_make,12,False,False,,Embiid Free Throw 2 of 2 (2 PTS),8-8,8,8
0022100050,2021-10-26,NYK,PHI,4.15,1,7,51,NYK,NYK,fg3_make,1,False,False,Barrett 25' 3PT Jump Shot (8 PTS) (Fournier 1 AST),,11-8,11,8
0022100050,2021-10-26,NYK,PHI,4.42,1,7,35,PHI,NYK,foul,2,False,False,Robinson S.FOUL (P1.T2) (B.Nansel),,11-8,11,8
0022100050,2021-10-26,NYK,PHI,4.42,1,7,35,PHI,PHI,ft_miss,11,False,False,,MISS Embiid Free Throw 1 of 2,11-8,11,8
0022100050,2021-10-26,NYK,PHI,4.42,1,7,35,PHI,PHI,reb,1,False,False,,76ers Rebound,11-8,11,8
0022100050,2021-10-26,NYK,PHI,4.42,1,7,35,PHI,PHI,ft_make,12,False,False,,Embiid Free Throw 2 of 2 (3 PTS),11-9,11,9
0022100050,2021-10-26,NYK,PHI,4.63,1,7,22,NYK,NYK,fg_miss,79,False,False,MISS Fournier 20' Pullup Jump Shot,,11-9,11,9
0022100050,2021-10-26,NYK,PHI,4.67,1,7,20,PHI,PHI,reb,0,False,False,,76ers Rebound,11-9,11,9
0022100050,2021-10-26,NYK,PHI,4.92,1,7,5,PHI,PHI,fg_miss,5,False,False,,MISS Harris 2' Layup,11-9,11,9
0022100050,2021-10-26,NYK,PHI,4.95,1,7,3,PHI,PHI,reb,0,False,False,,Harris REBOUND (Off:1 Def:3),11-9,11,9
0022100050,2021-10-26,NYK,PHI,4.95,1,7,3,PHI,PHI,fg_make,72,False,False,,Harris Putback Layup (5 PTS),11-11,11,11
0022100050,2021-10-26,NYK,PHI,5.28,1,6,43,NYK,NYK,fg_miss,47,False,False,MISS Randle 15' Turnaround Jump Shot,,11-11,11,11
0022100050,2021-10-26,NYK,PHI,5.32,1,6,41,PHI,PHI,reb,0,False,False,,Harris REBOUND (Off:1 Def:4),11-11,11,11
0022100050,2021-10-26,NYK,PHI,5.37,1,6,38,PHI,PHI,fg_make,41,False,False,,Maxey 2' Running Layup (2 PTS) (Harris 2 AST),11-13,11,13
0022100050,2021-10-26,NYK,PHI,5.37,1,6,38,PHI,NYK,foul,2,False,False,Walker S.FOUL (P1.T3) (M.Ervin),,11-13,11,13
0022100050,2021-10-26,NYK,PHI,5.37,1,6,38,NYK,NYK,timeout,1,False,False,KNICKS Timeout: Regular (Full 1 Short 0),,11-13,11,13
0022100050,2021-10-26,NYK,PHI,5.37,1,6,38,NYK,PHI,ft_make,10,False,False,,Maxey Free Throw 1 of 1 (3 PTS),11-14,11,14
0022100050,2021-10-26,NYK,PHI,5.63,1,6,22,NYK,NYK,tov,2,False,True,Barrett Lost Ball Turnover (P1.T1),,11-14,11,14
0022100050,2021-10-26,NYK,PHI,5.63,1,6,22,NYK,PHI,steal,2,False,True,steal,steal,11-14,11,14
0022100050,2021-10-26,NYK,PHI,5.7,1,6,18,PHI,NYK,block,6,True,False,block,block,11-14,11,14
0022100050,2021-10-26,NYK,PHI,5.7,1,6,18,PHI,PHI,fg_miss,6,True,False,,MISS Harris 2' Driving Layup,11-14,11,14
0022100050,2021-10-26,NYK,PHI,5.73,1,6,16,PHI,PHI,reb,0,False,False,,Embiid REBOUND (Off:1 Def:1),11-14,11,14
0022100050,2021-10-26,NYK,PHI,5.82,1,6,11,PHI,PHI,fg3_miss,1,False,False,,MISS Curry 25' 3PT Jump Shot,11-14,11,14
0022100050,2021-10-26,NYK,PHI,5.85,1,6,9,NYK,NYK,reb,0,False,False,Barrett REBOUND (Off:0 Def:3),,11-14,11,14
0022100050,2021-10-26,NYK,PHI,6.0,1,6,0,NYK,NYK,fg3_miss,1,False,False,MISS Fournier 25' 3PT Jump Shot,,11-14,11,14
0022100050,2021-10-26,NYK,PHI,6.03,1,5,58,PHI,PHI,reb,0,False,False,,Green REBOUND (Off:0 Def:1),11-14,11,14
0022100050,2021-10-26,NYK,PHI,6.22,1,5,47,PHI,PHI,fg_make,79,False,False,,Curry 19' Pullup Jump Shot (2 PTS) (Embiid 1 AST),11-16,11,16
0022100050,2021-10-26,NYK,PHI,6.7,1,5,18,NYK,NYK,fg_make,1,False,False,Randle 16' Jump Shot (5 PTS) (Fournier 2 AST),,13-16,13,16
0022100050,2021-10-26,NYK,PHI,7.12,1,4,53,PHI,PHI,fg3_miss,1,False,False,,MISS Curry 26' 3PT Jump Shot,13-16,13,16
0022100050,2021-10-26,NYK,PHI,7.15,1,4,51,NYK,NYK,reb,0,False,False,Walker REBOUND (Off:0 Def:1),,13-16,13,16
