game_id,date,home,vis,time,period,mins,secs,pos,team,event,event_deets,block,steal,home_desc,vis_desc,score,home_score,vis_score
0022100895,2022-02-24,SAC,DEN,0.0,1,12,0,,,period_start,0,False,False,,,0-0,0,0
0022100895,2022-02-24,SAC,DEN,0.0,1,12,0,,SAC,jump_ball,0,False,False,Jump Ball Sabonis vs. Jokic: Tip to Gordon,,0-0,0,0
0022100895,2022-02-24,SAC,DEN,0.23,1,11,46,DEN,DEN,fg3_make,1,False,False,,Je. Green 26' 3PT Jump Shot (3 PTS) (Gordon 1 AST),0-3,0,3
0022100895,2022-02-24,SAC,DEN,0.52,1,11,29,SAC,SAC,fg_make,58,False,False,Sabonis 7' Turnaround Hook Shot (2 PTS),,2-3,2,3
0022100895,2022-02-24,SAC,DEN,0.92,1,11,5,DEN,DEN,fg_miss,79,False,False,,MISS Gordon 16' Pullup Jump Shot,2-3,2,3
0022100895,2022-02-24,SAC,DEN,0.98,1,11,1,SAC,SAC,reb,0,False,False,Sabonis REBOUND (Off:0 Def:1),,2-3,2,3
0022100895,2022-02-24,SAC,DEN,1.07,1,10,56,SAC,SAC,tov,1,False,True,Sabonis Bad Pass Turnover (P1.T1),,2-3,2,3
0022100895,2022-02-24,SAC,DEN,1.07,1,10,56,SAC,DEN,steal,1,False,True,steal,steal,2-3,2,3
0022100895,2022-02-24,SAC,DEN,1.28,1,10,43,DEN,DEN,fg3_miss,1,False,False,,MISS Je. Green 26' 3PT Jump Shot,2-3,2,3
0022100895,2022-02-24,SAC,DEN,1.33,1,10,40,SAC,SAC,reb,0,False,False,Sabonis REBOUND (Off:0 Def:2),,2-3,2,3
0022100895,2022-02-24,SAC,DEN,1.45,1,10,33,SAC,SAC,fg3_make,1,False,False,Sabonis 25' 3PT Jump Shot (5 PTS),,5-3,5,3
0022100895,2022-02-24,SAC,DEN,1.73,1,10,16,DEN,DEN,fg_make,86,False,False,,Gordon 9' Turnaround Fadeaway (2 PTS) (Je. Green 1 AST),5-5,5,5
0022100895,2022-02-24,SAC,DEN,1.93,1,10,4,SAC,SAC,tov,1,False,True,Holiday Bad Pass Turnover (P1.T2),,5-5,5,5
0022100895,2022-02-24,SAC,DEN,1.93,1,10,4,SAC,DEN,steal,1,False,True,steal,steal,5-5,5,5
0022100895,2022-02-24,SAC,DEN,1.98,1,10,1,DEN,DEN,fg_make,50,False,False,,Barton 1' Running Dunk (2 PTS) (Jokic 1 AST),5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.25,1,9,45,SAC,SAC,fg3_miss,1,False,False,MISS Harkless 25' 3PT Jump Shot,,5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.28,1,9,43,DEN,DEN,reb,0,False,False,,Gordon REBOUND (Off:0 Def:1),5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.45,1,9,33,DEN,DEN,fg3_miss,1,False,False,,MISS Morris 25' 3PT Jump Shot,5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.5,1,9,30,SAC,SAC,reb,0,False,False,Barnes REBOUND (Off:0 Def:1),,5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.58,1,9,25,SAC,SAC,fg_miss,101,False,False,MISS Barnes 5' Driving Floating Jump Shot,,5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.62,1,9,23,DEN,DEN,reb,0,False,False,,Gordon REBOUND (Off:0 Def:2),5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.73,1,9,16,DEN,SAC,foul,2,False,False,Harkless S.FOUL (P1.T1) (L.Wood),,5-7,5,7
0022100895,2022-02-24,SAC,DEN,2.73,1,9,16,DEN,DEN,ft_make,11,False,False,,Barton Free Throw 1 of 2 (3 PTS),5-8,5,8
0022100895,2022-02-24,SAC,DEN,2.73,1,9,16,DEN,DEN,ft_make,12,False,False,,Barton Free Throw 2 of 2 (4 PTS),5-9,5,9
0022100895,2022-02-24,SAC,DEN,2.92,1,9,5,SAC,SAC,fg3_miss,1,False,False,MISS Holiday 25' 3PT Jump Shot,,5-9,5,9
0022100895,2022-02-24,SAC,DEN,2.98,1,9,1,DEN,DEN,reb,0,False,False,,Gordon REBOUND (Off:0 Def:3),5-9,5,9
0022100895,2022-02-24,SAC,DEN,3.08,1,8,55,DEN,DEN,fg_make,6,False,False,,Gordon 2' Driving Layup (4 PTS),5-11,5,11
0022100895,2022-02-24,SAC,DEN,3.22,1,8,47,SAC,SAC,fg3_make,80,False,False,Fox 24' 3PT Step Back Jump Shot (3 PTS),,8-11,8,11
0022100895,2022-02-24,SAC,DEN,3.53,1,8,28,DEN,DEN,tov,1,False,True,,Barton Bad Pass Turnover (P1.T1),8-11,8,11
0022100895,2022-02-24,SAC,DEN,3.53,1,8,28,DEN,SAC,steal,1,False,True,steal,steal,8-11,8,11
0022100895,2022-02-24,SAC,DEN,3.62,1,8,23,SAC,SAC,fg_miss,101,False,False,MISS Fox 5' Driving Floating Jump Shot,,8-11,8,11
0022100895,2022-02-24,SAC,DEN,3.67,1,8,20,DEN,DEN,reb,0,False,False,,Jokic REBOUND (Off:0 Def:1),8-11,8,11
0022100895,2022-02-24,SAC,DEN,3.82,1,8,11,DEN,DEN,fg_make,9,False,False,,Gordon 2' Driving Dunk (6 PTS),8-13,8,13
0022100895,2022-02-24,SAC,DEN,3.92,1,8,5,SAC,SAC,timeout,1,False,False,KINGS Timeout: Regular (Full 1 Short 0),,8-13,8,13
0022100895,2022-02-24,SAC,DEN,4.05,1,7,57,SAC,SAC,fg_make,101,False,False,Fox 7' Driving Floating Jump Shot (5 PTS),,10-13,10,13
0022100895,2022-02-24,SAC,DEN,4.33,1,7,40,DEN,DEN,fg3_make,1,False,False,,Barton 26' 3PT Jump Shot (7 PTS) (Jokic 2 AST),10-16,10,16
0022100895,2022-02-24,SAC,DEN,4.48,1,7,31,SAC,SAC,fg_make,99,False,False,Sabonis 1' Cutting Finger Roll Layup Shot (7 PTS) (Fox 1 AST),,12-16,12,16
0022100895,2022-02-24,SAC,DEN,4.7,1,7,18,DEN,DEN,fg3_miss,1,False,False,,MISS Je. Green 3PT Jump Shot,12-16,12,16
0022100895,2022-02-24,SAC,DEN,4.75,1,7,15,SAC,SAC,reb,0,False,False,Harkless REBOUND (Off:0 Def:1),,12-16,12,16
0022100895,2022-02-24,SAC,DEN,4.95,1,7,3,SAC,SAC,tov,1,False,True,Sabonis Bad Pass Turnover (P2.T3),,12-16,12,16
0022100895,2022-02-24,SAC,DEN,4.95,1,7,3,SAC,DEN,steal,1,False,True,steal,steal,12-16,12,16
0022100895,2022-02-24,SAC,DEN,5.03,1,6,58,DEN,DEN,fg_make,106,False,False,,Barton 1' Running Alley Oop Dunk Shot (9 PTS) (Morris 1 AST),12-18,12,18
