home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline,date
CHA,DEN,,,,,140,-160,2022-03-28
CLE,ORL,,,,,-380,290,2022-03-28
IND,ATL,,,,,245,-310,2022-03-28
TOR,BOS,,,,,-380,290,2022-03-28
NY,CHI,,,,,140,-160,2022-03-28
MIA,SAC,,,,,-1250,750,2022-03-28
CHA,DEN,,,,,135,-155,2022-03-28
IND,ATL,,,,,240,-305,2022-03-28
CLE,ORL,0,0,1,11:55,-385,270,2022-03-28
CHA,DEN,,,,,120,-150,2022-03-28
CLE,ORL,0,0,1,11:28,-400,280,2022-03-28
IND,ATL,,,,,240,-330,2022-03-28
CHA,DEN,0,0,1,11:36,130,-160,2022-03-28
CLE,ORL,0,0,1,10:49,-450,310,2022-03-28
IND,ATL,0,0,1,11:55,240,-330,2022-03-28
CHA,DEN,3,2,1,10:59,120,-150,2022-03-28
CLE,ORL,3,0,1,10:37,-500,340,2022-03-28
IND,ATL,2,0,1,11:18,230,-315,2022-03-28
CHA,DEN,3,3,1,10:59,130,-160,2022-03-28
CLE,ORL,3,0,1,10:29,-550,360,2022-03-28
IND,ATL,2,3,1,11:05,250,-350,2022-03-28
CHA,DEN,3,4,1,10:41,130,-160,2022-03-28
CLE,ORL,3,3,1,9:58,-435,300,2022-03-28
IND,ATL,5,3,1,10:28,210,-280,2022-03-28
CHA,DEN,3,4,1,10:33,140,-170,2022-03-28
CLE,ORL,3,3,1,9:44,-435,300,2022-03-28
IND,ATL,5,5,1,9:57,240,-330,2022-03-28
CHA,DEN,3,6,1,10:00,145,-175,2022-03-28
CLE,ORL,3,5,1,9:09,-400,280,2022-03-28
IND,ATL,5,8,1,9:24,280,-400,2022-03-28
CHA,DEN,3,6,1,9:27,145,-175,2022-03-28
CLE,ORL,6,8,1,8:31,-370,260,2022-03-28
IND,ATL,5,8,1,9:06,310,-450,2022-03-28
CHA,DEN,6,6,1,9:25,130,-160,2022-03-28
CLE,ORL,8,8,1,8:02,-435,300,2022-03-28
IND,ATL,8,8,1,8:50,280,-400,2022-03-28
CHA,DEN,8,9,1,8:56,135,-165,2022-03-28
CLE,ORL,8,8,1,7:55,-450,310,2022-03-28
IND,ATL,8,13,1,8:17,325,-475,2022-03-28
CHA,DEN,8,11,1,8:35,145,-175,2022-03-28
CLE,ORL,10,8,1,7:32,-450,310,2022-03-28
IND,ATL,8,15,1,7:53,360,-550,2022-03-28
CHA,DEN,11,11,1,8:19,130,-160,2022-03-28
CLE,ORL,12,11,1,6:48,-475,325,2022-03-28
IND,ATL,8,15,1,7:53,300,-435,2022-03-28
CHA,DEN,11,12,1,8:19,150,-185,2022-03-28
CLE,ORL,12,11,1,6:40,-525,350,2022-03-28
IND,ATL,8,15,1,7:53,280,-400,2022-03-28
CHA,DEN,11,13,1,7:52,155,-195,2022-03-28
CHA,DEN,14,13,1,7:35,145,-175,2022-03-28
CHA,DEN,14,15,1,7:24,165,-210,2022-03-28
CLE,ORL,12,11,1,6:40,-475,325,2022-03-28
CHA,DEN,14,17,1,7:17,165,-210,2022-03-28
IND,ATL,8,15,1,7:37,300,-435,2022-03-28
CHA,DEN,14,17,1,7:11,165,-210,2022-03-28
IND,ATL,11,15,1,7:24,260,-370,2022-03-28
CHA,DEN,14,17,1,7:11,160,-200,2022-03-28
CLE,ORL,12,11,1,6:40,-385,270,2022-03-28
IND,ATL,11,18,1,7:04,310,-450,2022-03-28
CLE,ORL,12,14,1,6:18,-385,270,2022-03-28
IND,ATL,13,21,1,6:35,325,-475,2022-03-28
CHA,DEN,14,17,1,7:11,170,-220,2022-03-28
CLE,ORL,12,14,1,6:04,-385,270,2022-03-28
IND,ATL,16,21,1,5:57,270,-385,2022-03-28
CLE,ORL,14,14,1,5:42,-435,300,2022-03-28
IND,ATL,20,21,1,5:32,220,-300,2022-03-28
CHA,DEN,14,17,1,6:56,170,-220,2022-03-28
CLE,ORL,14,14,1,5:07,-385,270,2022-03-28
IND,ATL,20,21,1,5:08,210,-280,2022-03-28
CLE,ORL,14,14,1,4:54,-435,300,2022-03-28
IND,ATL,20,21,1,4:57,210,-280,2022-03-28
CHA,DEN,14,23,1,5:59,240,-330,2022-03-28
CLE,ORL,14,14,1,4:57,-435,300,2022-03-28
IND,ATL,20,23,1,4:34,210,-280,2022-03-28
CLE,ORL,14,14,1,4:07,-435,300,2022-03-28
IND,ATL,22,26,1,4:03,230,-315,2022-03-28
CHA,DEN,16,25,1,5:32,260,-370,2022-03-28
CLE,ORL,16,16,1,3:39,-435,300,2022-03-28
IND,ATL,24,26,1,3:54,210,-280,2022-03-28
CHA,DEN,18,25,1,5:01,230,-315,2022-03-28
CLE,ORL,16,18,1,3:02,-400,280,2022-03-28
CHA,DEN,18,25,1,4:51,250,-350,2022-03-28
CLE,ORL,19,18,1,2:29,-435,300,2022-03-28
CHA,DEN,18,25,1,4:51,230,-315,2022-03-28
CLE,ORL,19,18,1,2:29,-450,310,2022-03-28
IND,ATL,24,26,1,3:54,260,-370,2022-03-28
CHA,DEN,18,25,1,4:25,230,-315,2022-03-28
CHA,DEN,20,25,1,3:51,200,-265,2022-03-28
IND,ATL,24,26,1,3:46,260,-370,2022-03-28
CHA,DEN,20,25,1,3:46,190,-255,2022-03-28
IND,ATL,24,29,1,3:32,300,-435,2022-03-28
CHA,DEN,20,27,1,3:30,230,-315,2022-03-28
IND,ATL,24,29,1,2:57,300,-435,2022-03-28
IND,ATL,24,32,1,2:48,340,-500,2022-03-28
CHA,DEN,22,29,1,2:28,250,-350,2022-03-28
CLE,ORL,21,18,1,2:20,-475,325,2022-03-28
CHA,DEN,22,29,1,2:28,260,-370,2022-03-28
CLE,ORL,21,20,1,1:47,-350,250,2022-03-28
IND,ATL,24,32,1,2:27,340,-500,2022-03-28
CLE,ORL,23,20,1,1:14,-475,325,2022-03-28
IND,ATL,27,35,1,2:07,360,-550,2022-03-28
CLE,ORL,23,22,1,0:52,-385,270,2022-03-28
IND,ATL,27,37,1,1:27,385,-600,2022-03-28
CLE,ORL,24,22,1,0:52,-400,280,2022-03-28
IND,ATL,27,37,1,1:22,450,-725,2022-03-28
CHA,DEN,22,29,1,2:37,260,-370,2022-03-28
CLE,ORL,25,22,1,0:40,-450,310,2022-03-28
IND,ATL,27,40,1,0:59,600,-1050,2022-03-28
CHA,DEN,24,29,1,2:05,230,-315,2022-03-28
CLE,ORL,25,22,1,0:30,-400,280,2022-03-28
IND,ATL,27,42,1,0:48,650,-1150,2022-03-28
CHA,DEN,24,29,1,1:55,240,-330,2022-03-28
CLE,ORL,26,22,1,0:30,-435,300,2022-03-28
IND,ATL,27,42,1,0:31,650,-1150,2022-03-28
CHA,DEN,24,30,1,1:52,230,-315,2022-03-28
CLE,ORL,27,22,1,0:07,-435,300,2022-03-28
IND,ATL,29,42,1,0:21,425,-675,2022-03-28
CHA,DEN,26,30,1,1:18,200,-265,2022-03-28
IND,ATL,30,42,1,0:21,400,-625,2022-03-28
CHA,DEN,26,30,1,1:07,220,-300,2022-03-28
CLE,ORL,27,22,2,12:00,-450,310,2022-03-28
IND,ATL,30,44,2,12:00,450,-725,2022-03-28
CHA,DEN,26,32,1,1:03,230,-315,2022-03-28
CLE,ORL,27,22,2,12:00,-525,350,2022-03-28
CHA,DEN,26,32,1,0:55,240,-330,2022-03-28
IND,ATL,30,44,2,12:00,500,-825,2022-03-28
CHA,DEN,27,32,1,0:43,240,-330,2022-03-28
CHA,DEN,27,32,1,0:31,215,-290,2022-03-28
CLE,ORL,27,22,2,11:50,-525,350,2022-03-28
CHA,DEN,29,32,1,0:31,210,-280,2022-03-28
CLE,ORL,29,25,2,11:22,-450,310,2022-03-28
IND,ATL,30,44,2,11:58,500,-825,2022-03-28
CHA,DEN,29,32,1,0:23,210,-280,2022-03-28
CLE,ORL,31,25,2,10:57,-600,385,2022-03-28
IND,ATL,32,46,2,11:36,600,-1050,2022-03-28
CHA,DEN,29,32,1,,190,-255,2022-03-28
CLE,ORL,32,25,2,10:45,-675,425,2022-03-28
IND,ATL,33,46,2,11:22,600,-1050,2022-03-28
CHA,DEN,29,32,1,,165,-210,2022-03-28
CLE,ORL,35,25,2,10:18,-775,475,2022-03-28
IND,ATL,33,48,2,11:02,650,-1150,2022-03-28
CHA,DEN,30,32,2,12:00,155,-195,2022-03-28
CLE,ORL,37,25,2,9:51,-725,450,2022-03-28
IND,ATL,33,50,2,10:50,750,-1450,2022-03-28
NY,CHI,,,,,140,-170,2022-03-28
TOR,BOS,,,,,-385,270,2022-03-28
MIA,SAC,,,,,-1150,650,2022-03-28
CLE,ORL,37,25,2,9:51,-775,475,2022-03-28
TOR,BOS,0,0,1,11:57,-385,270,2022-03-28
CLE,ORL,37,25,2,9:51,-825,500,2022-03-28
TOR,BOS,0,0,1,11:22,-350,250,2022-03-28
CLE,ORL,37,25,2,9:53,-825,500,2022-03-28
IND,ATL,33,50,2,10:53,700,-1300,2022-03-28
NY,CHI,0,0,1,11:54,140,-170,2022-03-28
TOR,BOS,2,3,1,10:52,-330,240,2022-03-28
CHA,DEN,30,32,2,11:35,145,-175,2022-03-28
CLE,ORL,40,25,2,9:19,-1150,650,2022-03-28
IND,ATL,33,50,2,10:10,800,-1600,2022-03-28
NY,CHI,0,0,1,11:20,130,-160,2022-03-28
TOR,BOS,2,5,1,10:17,-300,220,2022-03-28
MIA,SAC,0,0,1,11:39,-1300,700,2022-03-28
CHA,DEN,32,32,2,11:14,145,-175,2022-03-28
CLE,ORL,42,25,2,8:49,-1450,750,2022-03-28
IND,ATL,35,50,2,9:52,650,-1150,2022-03-28
NY,CHI,0,2,1,10:50,150,-185,2022-03-28
TOR,BOS,2,7,1,10:01,-245,185,2022-03-28
MIA,SAC,0,0,1,11:29,-1300,700,2022-03-28
CHA,DEN,35,32,2,10:59,-105,-125,2022-03-28
CLE,ORL,42,25,2,8:41,-1450,750,2022-03-28
IND,ATL,35,50,2,9:18,800,-1600,2022-03-28
NY,CHI,0,5,1,10:22,180,-235,2022-03-28
TOR,BOS,5,8,1,9:45,-280,210,2022-03-28
MIA,SAC,0,0,1,11:08,-1150,650,2022-03-28
CHA,DEN,35,32,2,10:59,110,-140,2022-03-28
CLE,ORL,42,25,2,8:36,-1600,800,2022-03-28
IND,ATL,35,53,2,9:00,700,-1300,2022-03-28
NY,CHI,0,5,1,9:55,200,-265,2022-03-28
TOR,BOS,7,10,1,9:10,-280,210,2022-03-28
MIA,SAC,0,2,1,10:44,-1050,600,2022-03-28
CHA,DEN,35,32,2,10:30,130,-160,2022-03-28
