home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
NO,SAC,49.0,48.0,2,4:04,-280.0,210.0
HOU,UTA,38.0,46.0,2,5:29,1200.0,-3200.0
CLE,CHA,77.0,94.0,3,0:36,1800.0,-6000.0
ORL,IND,91.0,76.0,4,11:35,-3200.0,1200.0
NO,SAC,49.0,51.0,2,4:03,-225.0,175.0
HOU,UTA,38.0,48.0,2,5:17,1400.0,-4000.0
CLE,CHA,77.0,94.0,3,0:13,1800.0,-6000.0
ORL,IND,91.0,76.0,4,11:03,-3500.0,1300.0
NO,SAC,51.0,51.0,2,3:36,-245.0,185.0
HOU,UTA,38.0,49.0,2,4:58,1400.0,-4000.0
CLE,CHA,80.0,96.0,3,,1800.0,-6000.0
ORL,IND,91.0,76.0,4,10:59,-3500.0,1300.0
NO,SAC,51.0,51.0,2,3:36,-265.0,200.0
HOU,UTA,38.0,51.0,2,4:40,1400.0,-4000.0
CLE,CHA,80.0,96.0,4,12:00,1800.0,-6000.0
ORL,IND,91.0,77.0,4,10:31,-2800.0,1100.0
MIL,MIA,53.0,53.0,2,4:50,-175.0,145.0
HOU,UTA,38.0,53.0,2,4:15,1500.0,-4500.0
ORL,IND,91.0,78.0,4,10:24,-2000.0,900.0
MIL,MIA,53.0,53.0,2,4:48,-175.0,145.0
ORL,IND,91.0,79.0,4,10:08,-1450.0,750.0
MIL,MIA,55.0,55.0,2,4:18,-175.0,145.0
ORL,IND,94.0,79.0,4,9:37,-3500.0,1300.0
MIL,MIA,55.0,55.0,2,4:00,-200.0,160.0
CLE,CHA,80.0,96.0,4,11:58,1800.0,-6000.0
MIL,MIA,57.0,55.0,2,3:58,-220.0,170.0
NO,SAC,51.0,51.0,2,3:25,-265.0,200.0
CLE,CHA,80.0,99.0,4,11:14,1800.0,-6000.0
MIL,MIA,57.0,58.0,2,3:40,-175.0,145.0
NO,SAC,53.0,53.0,2,2:54,-235.0,180.0
CLE,CHA,80.0,99.0,4,11:08,1800.0,-6000.0
MIL,MIA,60.0,58.0,2,3:01,-255.0,190.0
NO,SAC,55.0,53.0,2,2:34,-265.0,200.0
HOU,UTA,38.0,55.0,2,3:56,1500.0,-4500.0
CLE,CHA,81.0,102.0,4,10:53,1800.0,-6000.0
MIL,MIA,60.0,58.0,2,2:45,-220.0,170.0
NO,SAC,56.0,53.0,2,2:23,-315.0,230.0
HOU,UTA,41.0,55.0,2,3:53,1500.0,-4500.0
CLE,CHA,81.0,102.0,4,10:44,1800.0,-6000.0
MIL,MIA,60.0,61.0,2,2:12,-150.0,120.0
NO,SAC,59.0,53.0,2,2:01,-420.0,290.0
HOU,UTA,41.0,57.0,2,3:31,1500.0,-4500.0
CLE,CHA,87.0,102.0,4,10:07,1800.0,-6000.0
ORL,IND,94.0,82.0,4,9:20,-2400.0,1000.0
MIL,MIA,60.0,61.0,2,2:05,-165.0,135.0
NO,SAC,59.0,53.0,2,2:01,-475.0,325.0
HOU,UTA,44.0,60.0,2,3:04,1500.0,-4500.0
CLE,CHA,87.0,102.0,4,9:36,1800.0,-6000.0
ORL,IND,94.0,84.0,4,8:57,-1600.0,800.0
MIL,MIA,62.0,64.0,2,1:26,-175.0,145.0
NO,SAC,59.0,54.0,2,1:54,-475.0,325.0
HOU,UTA,44.0,60.0,2,2:39,1500.0,-4500.0
CLE,CHA,89.0,102.0,4,9:23,1800.0,-6000.0
ORL,IND,94.0,85.0,4,8:58,-950.0,550.0
MIL,MIA,62.0,64.0,2,1:19,-145.0,115.0
NO,SAC,61.0,56.0,2,1:36,-475.0,325.0
HOU,UTA,44.0,62.0,2,2:10,1500.0,-4500.0
ORL,IND,94.0,85.0,4,8:25,-725.0,450.0
MIL,MIA,62.0,66.0,2,0:55,-115.0,-115.0
NO,SAC,63.0,58.0,2,1:04,-475.0,325.0
ORL,IND,97.0,90.0,4,7:53,-600.0,385.0
MIL,MIA,64.0,66.0,2,0:35,-120.0,-110.0
NO,SAC,65.0,58.0,2,0:50,-525.0,350.0
HOU,UTA,44.0,62.0,2,1:59,1500.0,-4500.0
ORL,IND,97.0,92.0,4,7:29,-370.0,260.0
PHI,NY,55.0,62.0,3,11:56,-210.0,165.0
MIL,MIA,64.0,66.0,2,0:22,-135.0,105.0
NO,SAC,65.0,59.0,2,0:50,-475.0,325.0
HOU,UTA,44.0,62.0,2,1:24,1500.0,-4500.0
PHI,NY,57.0,62.0,3,11:42,-265.0,200.0
MIL,MIA,64.0,66.0,3,12:00,-125.0,-105.0
NO,SAC,65.0,59.0,2,0:24,-525.0,350.0
HOU,UTA,44.0,62.0,2,1:20,1500.0,-4500.0
CLE,CHA,89.0,102.0,4,9:14,1800.0,-6000.0
PHI,NY,58.0,62.0,3,11:28,-300.0,220.0
NO,SAC,65.0,59.0,2,0:08,-525.0,350.0
HOU,UTA,49.0,62.0,2,0:47,1500.0,-4500.0
CLE,CHA,91.0,104.0,4,8:44,1800.0,-6000.0
PHI,NY,61.0,62.0,3,11:07,-420.0,290.0
MIL,MIA,64.0,66.0,3,12:00,-130.0,100.0
NO,SAC,65.0,59.0,2,0:05,-450.0,310.0
HOU,UTA,49.0,64.0,2,0:24,1500.0,-4500.0
CLE,CHA,91.0,106.0,4,8:21,1800.0,-6000.0
NO,SAC,65.0,61.0,2,0:01,-350.0,250.0
HOU,UTA,49.0,64.0,2,0:22,1500.0,-4500.0
CLE,CHA,91.0,106.0,4,7:55,1800.0,-6000.0
NO,SAC,65.0,61.0,2,,-350.0,250.0
CLE,CHA,94.0,108.0,4,7:30,1800.0,-6000.0
ORL,IND,97.0,92.0,4,6:59,-280.0,210.0
MIL,MIA,64.0,66.0,3,12:00,-135.0,105.0
NO,SAC,65.0,61.0,3,12:00,-370.0,260.0
CLE,CHA,94.0,108.0,4,7:16,1800.0,-6000.0
ORL,IND,97.0,95.0,4,6:29,-135.0,105.0
MIL,MIA,64.0,66.0,3,12:00,-140.0,110.0
NO,SAC,65.0,61.0,3,12:00,-330.0,240.0
CLE,CHA,94.0,111.0,4,6:55,1800.0,-6000.0
ORL,IND,97.0,95.0,4,6:14,-170.0,140.0
HOU,UTA,49.0,64.0,2,0:26,1500.0,-4500.0
CLE,CHA,94.0,111.0,4,6:23,1800.0,-6000.0
ORL,IND,99.0,95.0,4,5:59,-200.0,160.0
PHI,NY,61.0,62.0,3,11:01,-420.0,290.0
CLE,CHA,94.0,111.0,4,6:04,1800.0,-6000.0
ORL,IND,99.0,98.0,4,5:43,-125.0,-105.0
PHI,NY,61.0,62.0,3,10:37,-400.0,280.0
MIL,MIA,64.0,66.0,3,12:00,-145.0,115.0
HOU,UTA,50.0,64.0,2,0:14,1500.0,-4500.0
CLE,CHA,94.0,111.0,4,5:59,1800.0,-6000.0
ORL,IND,99.0,98.0,4,5:28,-125.0,-105.0
