home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline,date
BKN,IND,,,,,-1500,850,2022-04-10
HOU,ATL,,,,,550,-800,2022-04-10
CLE,MIL,,,,,-350,270,2022-04-10
CHA,WAS,,,,,-850,575,2022-04-10
PHI,DET,,,,,-630,450,2022-04-10
ORL,MIA,,,,,360,-490,2022-04-10
NY,TOR,,,,,170,-200,2022-04-10
MEM,BOS,,,,,180,-220,2022-04-10
BKN,IND,,,,,-2000,1000,2022-04-10
PHI,DET,,,,,-575,410,2022-04-10
HOU,ATL,,,,,575,-850,2022-04-10
CHA,WAS,,,,,-1000,650,2022-04-10
CLE,MIL,,,,,-425,320,2022-04-10
MEM,BOS,,,,,205,-255,2022-04-10
