home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
ATL,CHI,,,,,-135,115
BOS,MEM,,,,,-140,120
BKN,MIA,,,,,-150,130
TOR,DET,,,,,-380,290
DAL,GS,,,,,-125,105
SA,SAC,,,,,-255,205
LA,LA,,,,,-135,115
BKN,MIA,,,,,-145,125
ATL,CHI,,,,,-135,105
ATL,CHI,0.0,0.0,1,11:45,-140,110
ATL,CHI,0.0,0.0,1,11:21,-120,-110
ATL,CHI,0.0,2.0,1,10:54,-115,-115
ATL,CHI,2.0,4.0,1,10:21,-120,-110
ATL,CHI,2.0,7.0,1,10:04,-110,-120
ATL,CHI,4.0,7.0,1,9:31,-115,-115
ATL,CHI,6.0,7.0,1,9:06,-130,100
ATL,CHI,8.0,10.0,1,8:27,-130,100
ATL,CHI,11.0,12.0,1,7:56,-120,-110
ATL,CHI,11.0,15.0,1,7:23,100,-130
ATL,CHI,16.0,15.0,1,6:51,-130,100
ATL,CHI,18.0,17.0,1,6:19,-130,100
ATL,CHI,18.0,19.0,1,5:58,-130,100
ATL,CHI,18.0,19.0,1,5:58,-135,105
ATL,CHI,18.0,19.0,1,5:44,-125,-105
ATL,CHI,18.0,19.0,1,5:25,-125,-105
ATL,CHI,18.0,22.0,1,5:11,-105,-125
ATL,CHI,20.0,22.0,1,5:10,-115,-115
ATL,CHI,20.0,22.0,1,4:39,-130,100
ATL,CHI,22.0,25.0,1,4:09,-120,-110
ATL,CHI,22.0,28.0,1,3:32,105,-135
ATL,CHI,22.0,28.0,1,2:54,105,-135
ATL,CHI,22.0,28.0,1,2:54,100,-130
ATL,CHI,23.0,28.0,1,2:54,100,-130
ATL,CHI,24.0,30.0,1,2:40,105,-135
ATL,CHI,24.0,30.0,1,2:17,105,-135
ATL,CHI,26.0,33.0,1,1:37,115,-145
ATL,CHI,26.0,33.0,1,1:06,115,-145
ATL,CHI,29.0,35.0,1,0:40,110,-140
BOS,MEM,,,,,-135,105
BKN,MIA,,,,,-140,110
ATL,CHI,29.0,35.0,1,0:24,135,-165
ATL,CHI,29.0,35.0,2,12:00,135,-165
ATL,CHI,29.0,35.0,2,12:00,120,-150
ATL,CHI,29.0,35.0,2,11:58,120,-150
ATL,CHI,31.0,35.0,2,11:23,115,-145
ATL,CHI,31.0,39.0,2,10:45,155,-195
ATL,CHI,31.0,39.0,2,10:31,155,-195
ATL,CHI,33.0,39.0,2,10:08,135,-165
ATL,CHI,35.0,41.0,2,9:37,135,-165
ATL,CHI,38.0,43.0,2,9:06,125,-155
ATL,CHI,41.0,43.0,2,8:33,110,-140
ATL,CHI,41.0,45.0,2,8:09,115,-145
