home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
CLE,MIN,,,,,140,-160
ORL,IND,,,,,-140,120
MIA,CHI,,,,,-190,160
BKN,TOR,,,,,125,-145
MIL,CHA,,,,,-550,400
MEM,SA,,,,,-380,290
OKC,SAC,,,,,175,-210
CLE,MIN,,,,,130,-160
ORL,IND,0.0,0.0,1,11:57,-150,120
ORL,IND,0.0,3.0,1,11:26,-130,100
CLE,MIN,0.0,0.0,1,11:41,120,-150
ORL,IND,2.0,6.0,1,10:52,-125,-105
CLE,MIN,0.0,0.0,1,11:19,130,-160
ORL,IND,2.0,6.0,1,10:46,-125,-105
CLE,MIN,2.0,0.0,1,10:57,115,-145
ORL,IND,2.0,6.0,1,10:46,-120,-110
CLE,MIN,4.0,0.0,1,10:37,110,-140
ORL,IND,3.0,6.0,1,10:25,-135,105
CLE,MIN,4.0,2.0,1,10:00,135,-165
ORL,IND,3.0,8.0,1,10:00,-120,-110
CLE,MIN,4.0,2.0,1,9:37,130,-160
ORL,IND,5.0,11.0,1,9:25,-125,-105
CLE,MIN,7.0,2.0,1,9:02,120,-150
ORL,IND,5.0,11.0,1,9:07,-110,-120
CLE,MIN,11.0,2.0,1,8:24,-115,-115
ORL,IND,5.0,11.0,1,8:32,-110,-120
CLE,MIN,11.0,2.0,1,8:01,-125,-105
ORL,IND,5.0,11.0,1,8:20,-125,-105
CLE,MIN,13.0,2.0,1,7:46,-130,100
ORL,IND,7.0,14.0,1,7:53,-115,-115
CLE,MIN,14.0,2.0,1,7:26,-135,105
ORL,IND,7.0,14.0,1,7:29,-105,-125
CLE,MIN,14.0,2.0,1,7:22,-130,100
ORL,IND,7.0,16.0,1,7:12,-110,-120
CLE,MIN,14.0,4.0,1,7:19,-130,100
ORL,IND,7.0,16.0,1,7:12,100,-130
CLE,MIN,14.0,4.0,1,7:07,-140,110
CLE,MIN,16.0,4.0,1,6:58,-150,120
CLE,MIN,16.0,7.0,1,6:43,-130,100
CLE,MIN,19.0,7.0,1,6:11,-140,110
ORL,IND,7.0,16.0,1,7:11,100,-130
CLE,MIN,19.0,9.0,1,6:04,-145,115
ORL,IND,9.0,16.0,1,6:31,-110,-120
ORL,IND,11.0,19.0,1,6:05,110,-140
CLE,MIN,19.0,9.0,1,6:04,-140,110
ORL,IND,13.0,19.0,1,5:42,110,-140
ORL,IND,13.0,19.0,1,5:06,110,-140
MEM,SA,,,,,-400,300
OKC,SAC,,,,,180,-220
ORL,IND,13.0,21.0,1,4:48,130,-160
ORL,IND,15.0,21.0,1,4:24,110,-140
CLE,MIN,19.0,9.0,1,5:35,-140,110
ORL,IND,17.0,21.0,1,4:19,105,-135
ORL,IND,19.0,21.0,1,3:53,-115,-115
CLE,MIN,23.0,9.0,1,4:54,-175,145
CLE,MIN,23.0,12.0,1,4:31,-160,130
CLE,MIN,23.0,12.0,1,4:11,-145,115
ORL,IND,19.0,21.0,1,3:53,-125,-105
CLE,MIN,26.0,12.0,1,3:50,-195,155
CLE,MIN,26.0,12.0,1,3:45,-200,160
CLE,MIN,28.0,14.0,1,3:21,-185,150
ORL,IND,19.0,21.0,1,3:54,-125,-105
CLE,MIN,28.0,14.0,1,2:49,-225,175
ORL,IND,21.0,21.0,1,3:22,-140,110
CLE,MIN,28.0,17.0,1,2:17,-160,130
ORL,IND,21.0,24.0,1,2:51,-115,-115
CLE,MIN,28.0,17.0,1,2:14,-170,140
ORL,IND,24.0,27.0,1,2:17,-110,-120
ORL,IND,27.0,27.0,1,2:15,-130,100
ORL,IND,27.0,27.0,1,1:53,-125,-105
ORL,IND,27.0,27.0,1,1:53,-130,100
CLE,MIN,28.0,17.0,1,2:14,-195,155
ORL,IND,27.0,28.0,1,1:39,-135,105
CLE,MIN,28.0,17.0,1,2:14,-185,150
ORL,IND,29.0,28.0,1,1:39,-140,110
CLE,MIN,30.0,17.0,1,2:11,-210,165
ORL,IND,29.0,28.0,1,1:10,-150,120
CLE,MIN,30.0,20.0,1,1:39,-150,120
ORL,IND,29.0,28.0,1,0:58,-135,105
CLE,MIN,30.0,21.0,1,1:39,-150,120
ORL,IND,31.0,28.0,1,0:32,-160,130
CLE,MIN,30.0,22.0,1,1:39,-140,110
ORL,IND,31.0,30.0,1,0:32,-140,110
CLE,MIN,33.0,24.0,1,0:55,-160,130
ORL,IND,31.0,32.0,1,0:12,-140,110
CLE,MIN,35.0,26.0,1,0:29,-160,130
ORL,IND,31.0,32.0,2,12:00,-135,105
CLE,MIN,35.0,26.0,1,,-165,135
CLE,MIN,37.0,26.0,1,,-185,150
CLE,MIN,37.0,26.0,2,12:00,-200,160
CLE,MIN,37.0,26.0,2,12:00,-195,155
ORL,IND,31.0,32.0,2,12:00,-130,100
CLE,MIN,37.0,26.0,2,12:00,-185,150
ORL,IND,31.0,32.0,2,11:56,-120,-110
MIA,CHI,,,,,-180,155
MIL,CHA,,,,,-525,385
MEM,SA,,,,,-365,280
ORL,IND,31.0,32.0,2,11:28,-130,100
ORL,IND,33.0,32.0,2,10:53,-140,110
ORL,IND,33.0,32.0,2,10:33,-140,110
CLE,MIN,37.0,26.0,2,11:48,-210,165
ORL,IND,33.0,36.0,2,10:03,-105,-125
CLE,MIN,37.0,30.0,2,11:20,-155,125
ORL,IND,33.0,36.0,2,9:31,-110,-120
MIA,CHI,,,,,-195,155
CLE,MIN,37.0,30.0,2,10:58,-140,110
ORL,IND,33.0,36.0,2,9:21,-120,-110
BKN,TOR,,,,,115,-145
CLE,MIN,37.0,30.0,2,10:35,-130,100
ORL,IND,33.0,39.0,2,9:00,110,-140
BKN,TOR,0.0,0.0,1,11:51,120,-150
CLE,MIN,37.0,33.0,2,10:27,-115,-115
ORL,IND,35.0,39.0,2,8:17,-110,-120
BKN,TOR,0.0,1.0,1,11:51,120,-150
CLE,MIN,37.0,33.0,2,10:27,-110,-120
ORL,IND,35.0,39.0,2,8:05,105,-135
BKN,TOR,0.0,1.0,1,11:31,130,-160
MIA,CHI,0.0,0.0,1,11:59,-195,155
BKN,TOR,0.0,1.0,1,11:04,120,-150
ORL,IND,35.0,39.0,2,8:05,100,-130
MIA,CHI,0.0,2.0,1,11:25,-170,140
BKN,TOR,0.0,1.0,1,11:00,120,-150
MIA,CHI,0.0,2.0,1,10:59,-160,130
BKN,TOR,0.0,1.0,1,10:52,120,-150
CLE,MIN,37.0,33.0,2,10:24,-115,-115
MIA,CHI,2.0,4.0,1,10:28,-160,130
BKN,TOR,3.0,4.0,1,10:21,130,-160
CLE,MIN,39.0,35.0,2,9:47,-110,-120
ORL,IND,35.0,39.0,2,8:07,100,-130
MIA,CHI,4.0,6.0,1,9:55,-160,130
BKN,TOR,5.0,4.0,1,9:54,120,-150
CLE,MIN,42.0,35.0,2,9:26,-155,125
ORL,IND,38.0,39.0,2,7:34,-135,105
MIA,CHI,4.0,6.0,1,9:41,-160,130
BKN,TOR,5.0,5.0,1,9:39,140,-170
CLE,MIN,42.0,38.0,2,9:05,-130,100
ORL,IND,38.0,39.0,2,7:26,-130,100
MIA,CHI,4.0,6.0,1,9:00,-170,140
BKN,TOR,5.0,5.0,1,9:41,130,-160
CLE,MIN,42.0,38.0,2,8:38,-120,-110
ORL,IND,38.0,41.0,2,7:13,-110,-120
MIA,CHI,4.0,6.0,1,8:51,-170,140
BKN,TOR,5.0,7.0,1,9:29,150,-185
ORL,IND,38.0,44.0,2,6:53,120,-150
MIA,CHI,6.0,6.0,1,8:48,-185,150
BKN,TOR,5.0,7.0,1,9:29,125,-155
ORL,IND,38.0,47.0,2,6:26,150,-185
MIA,CHI,9.0,6.0,1,8:12,-265,200
CLE,MIN,44.0,41.0,2,8:05,-130,100
ORL,IND,38.0,49.0,2,6:00,170,-220
MIA,CHI,13.0,8.0,1,7:40,-245,185
CLE,MIN,46.0,43.0,2,7:34,-105,-125
ORL,IND,38.0,49.0,2,6:00,165,-210
MIA,CHI,13.0,10.0,1,7:17,-245,185
CLE,MIN,49.0,43.0,2,7:10,-135,105
MIA,CHI,16.0,10.0,1,6:57,-290,215
CLE,MIN,49.0,45.0,2,6:31,-125,-105
MIA,CHI,16.0,10.0,1,6:41,-330,240
BKN,TOR,5.0,7.0,1,9:07,110,-140
ORL,IND,38.0,49.0,2,6:00,180,-235
BKN,TOR,6.0,7.0,1,9:07,120,-150
CLE,MIN,51.0,47.0,2,5:56,-125,-105
BKN,TOR,7.0,7.0,1,9:06,120,-150
CLE,MIN,51.0,47.0,2,5:29,-125,-105
ORL,IND,38.0,49.0,2,6:01,170,-220
BKN,TOR,7.0,9.0,1,8:20,120,-150
CLE,MIN,51.0,47.0,2,5:29,-120,-110
ORL,IND,38.0,49.0,2,5:44,180,-235
BKN,TOR,7.0,9.0,1,8:16,120,-150
CLE,MIN,51.0,47.0,2,5:13,100,-130
ORL,IND,41.0,49.0,2,5:13,140,-170
BKN,TOR,7.0,9.0,1,8:18,120,-150
CLE,MIN,51.0,47.0,2,5:13,-115,-115
ORL,IND,41.0,49.0,2,4:57,165,-210
MIA,CHI,17.0,10.0,1,6:41,-330,240
MIL,CHA,,,,,-510,375
CLE,MIN,51.0,47.0,2,5:13,-105,-125
ORL,IND,41.0,49.0,2,4:31,155,-195
MIA,CHI,18.0,10.0,1,6:23,-385,270
CLE,MIN,51.0,48.0,2,5:12,-110,-120
ORL,IND,43.0,49.0,2,4:23,140,-170
MIA,CHI,20.0,10.0,1,5:49,-450,310
CLE,MIN,51.0,49.0,2,5:07,-110,-120
ORL,IND,43.0,51.0,2,3:59,180,-235
MIA,CHI,20.0,10.0,1,5:39,-450,310
CLE,MIN,51.0,51.0,2,4:41,120,-150
ORL,IND,45.0,51.0,2,3:31,150,-185
MIA,CHI,20.0,10.0,1,5:33,-400,280
ORL,IND,45.0,51.0,2,3:13,160,-200
MIA,CHI,20.0,10.0,1,5:33,-435,300
BKN,TOR,7.0,11.0,1,8:01,140,-170
CLE,MIN,54.0,54.0,2,4:19,170,-220
ORL,IND,48.0,53.0,2,2:47,145,-175
MIA,CHI,22.0,11.0,1,5:10,-435,300
BKN,TOR,7.0,12.0,1,8:02,160,-200
CLE,MIN,54.0,54.0,2,4:04,145,-175
ORL,IND,50.0,53.0,2,2:30,115,-145
MIA,CHI,22.0,11.0,1,5:04,-500,340
BKN,TOR,10.0,14.0,1,7:22,160,-200
CLE,MIN,54.0,56.0,2,4:03,150,-185
MIA,CHI,22.0,11.0,1,4:52,-550,360
BKN,TOR,10.0,16.0,1,7:00,185,-245
CLE,MIN,54.0,56.0,2,3:33,170,-220
MIA,CHI,24.0,11.0,1,4:30,-600,385
BKN,TOR,10.0,17.0,1,6:51,185,-245
