team,gameid,date,home,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
MIL,22100001,2021-10-19,True,127.0,2.645833333333333,104.0,0.0769230769230769,0.5254237288135594,0.3278688524590163,0.7368421052631579,0.5380952380952381,0.516260162601626,1.2211538461538465,1.0
BKN,22100001,2021-10-19,False,104.0,2.1666666666666665,104.0,0.125,0.4745762711864407,0.2631578947368421,0.6721311475409836,0.5416666666666666,0.4859813084112149,1.0,1.2211538461538465
LAL,22100002,2021-10-19,True,114.0,2.375,112.5,0.16,0.4957264957264957,0.2833333333333333,0.7192982456140351,0.5526315789473685,0.5,1.0133333333333334,1.0755555555555556
GSW,22100002,2021-10-19,False,121.0,2.520833333333333,112.5,0.1511111111111111,0.5042735042735043,0.2807017543859649,0.7166666666666667,0.5161290322580645,0.491869918699187,1.0755555555555556,1.0133333333333334
CHA,22100003,2021-10-20,True,123.0,2.5625,107.5,0.0744186046511627,0.5289256198347108,0.3714285714285714,0.7450980392156863,0.4906542056074766,0.458955223880597,1.1441860465116278,1.1348837209302325
IND,22100003,2021-10-20,False,122.0,2.5416666666666665,107.5,0.1581395348837209,0.4710743801652892,0.2549019607843137,0.6285714285714286,0.5611111111111111,0.5350877192982456,1.1348837209302325,1.1441860465116278
DET,22100004,2021-10-20,True,88.0,1.8333333333333333,101.5,0.167487684729064,0.4814814814814814,0.2631578947368421,0.7254901960784313,0.4333333333333333,0.4271844660194174,0.8669950738916257,0.9261083743842364
CHI,22100004,2021-10-20,False,94.0,1.9583333333333333,101.5,0.167487684729064,0.5185185185185185,0.2745098039215686,0.7368421052631579,0.4709302325581395,0.4653465346534653,0.9261083743842364,0.8669950738916257
NYK,22100005,2021-10-20,True,138.0,2.3793103448275863,126.5,0.150197628458498,0.5182481751824818,0.3387096774193548,0.6666666666666666,0.5666666666666667,0.5227272727272727,1.0909090909090908,1.0592885375494072
BOS,22100005,2021-10-20,False,134.0,2.310344827586207,126.5,0.1422924901185771,0.4817518248175182,0.3333333333333333,0.6612903225806451,0.5,0.4785714285714286,1.0592885375494072,1.0909090909090908
TOR,22100006,2021-10-20,True,83.0,1.7291666666666667,110.0,0.1727272727272727,0.4959349593495935,0.3424657534246575,0.72,0.345360824742268,0.3487394957983193,0.7545454545454545,0.8909090909090909
WAS,22100006,2021-10-20,False,98.0,2.0416666666666665,110.0,0.2,0.5040650406504065,0.28,0.6575342465753424,0.4753086419753086,0.4579439252336448,0.8909090909090909,0.7545454545454545
MEM,22100007,2021-10-20,True,132.0,2.75,102.0,0.1176470588235294,0.5773195876288659,0.3404255319148936,0.8,0.6,0.5892857142857143,1.2941176470588236,1.1862745098039216
CLE,22100007,2021-10-20,False,121.0,2.520833333333333,102.0,0.1078431372549019,0.422680412371134,0.2,0.6595744680851063,0.5806451612903226,0.545045045045045,1.1862745098039216,1.2941176470588236
MIN,22100008,2021-10-20,True,124.0,2.583333333333333,109.0,0.1651376146788991,0.4953271028037383,0.3461538461538461,0.6363636363636364,0.5747126436781609,0.5254237288135594,1.1376146788990826,0.9724770642201837
HOU,22100008,2021-10-20,False,106.0,2.208333333333333,109.0,0.2201834862385321,0.5046728971962616,0.3636363636363636,0.6538461538461539,0.5170454545454546,0.4818181818181818,0.9724770642201837,1.1376146788990826
NOP,22100009,2021-10-20,True,97.0,2.020833333333333,99.0,0.1414141414141414,0.4901960784313725,0.2631578947368421,0.7777777777777778,0.489247311827957,0.4754901960784313,0.9797979797979798,1.181818181818182
PHI,22100009,2021-10-20,False,117.0,2.4375,99.0,0.1313131313131313,0.5098039215686274,0.2222222222222222,0.7368421052631579,0.5941176470588235,0.5571428571428572,1.181818181818182,0.9797979797979798
SAS,22100010,2021-10-20,True,123.0,2.5625,98.0,0.0816326530612244,0.5225225225225225,0.4181818181818181,0.625,0.5663265306122449,0.5301724137931034,1.2551020408163265,0.9897959183673468
ORL,22100010,2021-10-20,False,97.0,2.020833333333333,98.0,0.1632653061224489,0.4774774774774775,0.375,0.5818181818181818,0.4593023255813953,0.4449541284403669,0.9897959183673468,1.2551020408163265
UTA,22100011,2021-10-20,True,107.0,2.2291666666666665,94.5,0.1058201058201058,0.5,0.2884615384615384,0.671875,0.5164835164835165,0.5047169811320755,1.1322751322751323,0.91005291005291
OKC,22100011,2021-10-20,False,86.0,1.7916666666666667,94.5,0.1587301587301587,0.5,0.328125,0.7115384615384616,0.412087912087912,0.3944954128440367,0.91005291005291,1.1322751322751323
PHX,22100012,2021-10-20,True,98.0,2.0416666666666665,103.5,0.1739130434782608,0.5050505050505051,0.2857142857142857,0.7906976744186046,0.4942528735632184,0.4711538461538461,0.9468599033816424,1.0628019323671498
DEN,22100012,2021-10-20,False,110.0,2.2916666666666665,103.5,0.1835748792270531,0.494949494949495,0.2093023255813953,0.7142857142857143,0.6325301204819277,0.5978260869565217,1.0628019323671498,0.9468599033816424
POR,22100013,2021-10-20,True,121.0,2.520833333333333,107.5,0.1209302325581395,0.5327102803738317,0.2745098039215686,0.7678571428571429,0.5483870967741935,0.5260869565217391,1.1255813953488372,1.1534883720930234
SAC,22100013,2021-10-20,False,124.0,2.583333333333333,107.5,0.0930232558139534,0.4672897196261682,0.2321428571428571,0.7254901960784313,0.5489130434782609,0.512396694214876,1.1534883720930234,1.1255813953488372
ATL,22100014,2021-10-21,True,113.0,2.3541666666666665,107.5,0.1209302325581395,0.5221238938053098,0.16,0.8095238095238095,0.5585106382978723,0.5485436893203883,1.0511627906976744,0.8093023255813954
DAL,22100014,2021-10-21,False,87.0,1.8125,107.5,0.1395348837209302,0.4778761061946903,0.1904761904761904,0.84,0.4032258064516129,0.410377358490566,0.8093023255813954,1.0511627906976744
