date,team,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
2012-02-08,NJN,92.46153846153847,1.918949564586357,91.90384615384616,0.1679202150961817,0.49175318649094507,0.358963522205947,0.6363028751552737,0.4792125168986142,0.45961124431770806,1.007516270948681,1.0848975582600926
2012-02-10,NJN,92.44444444444444,1.9188650128115539,91.62962962962963,0.16783726169901872,0.4906647570430526,0.3592740191159308,0.6337798730451458,0.4795075898719799,0.4599733373097204,1.0105252015227928,1.088108672144389
2012-02-11,NJN,92.42857142857143,1.9187865004492364,91.78571428571429,0.16891152616214902,0.48718595954031113,0.35632122360039226,0.629852360572445,0.47855027247307713,0.4591919766234889,1.0086612062303122,1.0897982433773277
2012-02-15,NJN,92.3103448275862,1.916558230318803,91.6896551724138,0.16851124494229963,0.4872759581205538,0.35657346980852916,0.6305872029905564,0.4773081505130463,0.45840171914695205,1.0083625439465083,1.0921260063914375
2012-02-16,NJN,92.56666666666666,1.9221174004192874,91.51666666666667,0.17060133253863533,0.4867197006930059,0.35611625891014964,0.6282342962242045,0.48107380475520406,0.462278749964659,1.013286104620353,1.0961842339240542
2012-02-18,NJN,92.41935483870968,1.9192533982552242,91.48387096774194,0.17222691778378002,0.4869783181579174,0.3569174241373184,0.626836598293661,0.48146927341901463,0.46296383814375014,1.0119664138457525,1.093972623455287
2012-02-19,NJN,92.5625,1.922427771226415,91.328125,0.17009627168974212,0.4864661280684237,0.35727691252776406,0.6248890836292422,0.4807615939187881,0.462274627292667,1.0153858160142286,1.0904940714578584
2012-02-20,NJN,92.33333333333333,1.9178340003811702,91.4090909090909,0.16848793850507554,0.48578533630877446,0.35866200834894896,0.6221494980229224,0.4774230072937981,0.4591805322694172,1.0120182252001289,1.08710708154263
2012-02-22,NJN,92.55882352941177,1.92270162782094,91.69117647058823,0.1690653171337847,0.4872176134355955,0.3600772334274196,0.6234588265124443,0.4775490164049561,0.45892376515709465,1.011373542397213,1.0819242582357558
2012-02-28,NJN,92.51428571428572,1.921933962264151,91.57142857142857,0.16815324684832966,0.4859286891419469,0.35848496464626345,0.6219722477957622,0.47889594045123424,0.46025610202562217,1.0121914411858641,1.086277442694326
2012-03-02,NJN,92.52777777777777,1.9223663522012577,91.73611111111111,0.16889542873787033,0.48607589417065505,0.3558966634741167,0.623071309288615,0.4789861325815571,0.46065148241153175,1.0105707387597611,1.0823138954969764
2012-03-04,NJN,92.56756756756756,1.9233384327723948,92.12162162162163,0.16943012648233383,0.4863099738445633,0.3536970186213451,0.6265018144429767,0.4790206467792106,0.4604155795604924,1.0072253796805832,1.080344167571765
2012-03-06,NJN,92.86842105263158,1.9297418073485602,92.28947368421052,0.16924608494920265,0.4863961148837415,0.35316113216639744,0.6265267924942709,0.48015323037790014,0.4605174252111562,1.0085046476745623,1.0788977608109265
2012-03-07,NJN,92.48717948717949,1.921927914852443,92.23076923076923,0.16861014544908068,0.48516037468649204,0.351889601304988,0.6275560200371529,0.4786540897781579,0.45923560189265145,1.0048677763666676,1.0820029464311591
2012-03-09,NJN,92.7,1.9264838836477989,92.4125,0.1689175048781803,0.4847334929789042,0.3503145834945855,0.6276834460668363,0.47988218197814836,0.4600119933987332,1.0051229663796113,1.0800785009110836
2012-03-10,NJN,92.46341463414635,1.9216712685994783,92.26829268292683,0.16874511966121636,0.4859838955891748,0.3527459351166688,0.6273834745867821,0.47758120604391785,0.45807838246106,1.0040111274985069,1.074600765022515
2012-03-12,NJN,92.78571428571429,1.9284965558550464,92.16666666666667,0.1671624436519666,0.48572237426562304,0.35247730367660873,0.627097787462921,0.4801726000211203,0.46045496232727534,1.0087857543329581,1.0793180628250092
2012-03-14,NJN,92.93023255813954,1.9316129150212082,92.36046511627907,0.16697736310423486,0.48676632474544484,0.3517022253625065,0.6293859830121189,0.4809396998982301,0.4607101625389334,1.0082343327639514,1.0785147618151947
2012-03-16,NJN,93.04545454545455,1.9341141366495138,92.375,0.1673368707365189,0.48835574988595365,0.3521656525873544,0.6310750221187459,0.4819482625300022,0.4618398558145636,1.0092690852206847,1.0745309219205679
2012-03-17,NJN,92.53333333333333,1.9235412299091545,92.31111111111112,0.16709437540916483,0.4883781043802138,0.35096742950841514,0.6344685501557468,0.47953816727163806,0.45993994981916236,1.0042213923275125,1.0720056537611908
2012-03-19,NJN,92.56521739130434,1.924297579983593,92.26086956521739,0.16684353149930378,0.4887476313303401,0.35169890679334925,0.6349917683124882,0.4794774285493527,0.46015864656222405,1.0050958065039675,1.0733388641866721
2012-03-21,NJN,92.72340425531915,1.9276813194165663,92.32978723404256,0.16596716806871817,0.48752305748395963,0.3507625961741781,0.6330527870531333,0.47899471993036197,0.45986651730406125,1.0059899471921419,1.0738949828165425
2012-03-23,NJN,92.64583333333333,1.9261497641509433,92.41666666666667,0.16596375016745923,0.4873051650401998,0.3508702963245042,0.6327808539895263,0.4774482029476858,0.4586380669623287,1.0042459856411832,1.074838232850697
2012-03-24,NJN,92.46938775510205,1.9225548710050058,92.34693877551021,0.165099092115429,0.4876652738158998,0.35051239912060284,0.6341960949198313,0.4766329334997738,0.4577646693540856,1.003012806846855,1.0742281427971057
2012-03-26,NJN,92.66,1.9266037735849055,92.42,0.1647137769397871,0.48830412520232697,0.350809843445883,0.6351121730214346,0.47653209301159655,0.45788210323973116,1.0042025507099177,1.0712852466078302
2012-03-28,NJN,92.49019607843137,1.9231409544950056,92.5,0.1647351363881891,0.48880833238637517,0.3522496979713054,0.6355714752242664,0.4748135988131121,0.4560034142647804,1.0015802717007727,1.0716146123910963
2012-03-30,NJN,92.63461538461539,1.9262215771649733,92.45192307692308,0.16434493077388634,0.4889178931963582,0.3515945464368922,0.6360330712408209,0.4758842566220532,0.4571468854813379,1.0036866339971253,1.0689553570246009
2012-03-31,NJN,92.81132075471699,1.9299721134448795,92.54716981132076,0.16453387499247288,0.49047469844602265,0.35258042582197263,0.639030028290462,0.4759898646382688,0.45719051895262325,1.0044879021510258,1.0681381054890617
2012-04-03,NJN,93.14814814814815,1.9370559631959001,92.69444444444444,0.16517222869861928,0.4909877932559447,0.35393867582389765,0.638439525121062,0.47683707326413016,0.4579006151624953,1.0063395634434198,1.066599892921962
2012-04-04,NJN,93.03636363636363,1.9347913093196112,92.67272727272727,0.16336134764031354,0.49048179510105194,0.3519631184246982,0.6402514471751378,0.4760817467983653,0.45748424034135904,1.0053301108741057,1.0652896315802114
2012-04-06,NJN,92.94642857142857,1.9329795597484278,92.72321428571429,0.16343595334344554,0.490391707567174,0.35087286793334804,0.6414671951422485,0.4748477288945739,0.4567978721039708,1.003832536904682,1.0651521671419335
